epoch,train_loss,val_loss
0,1.8364746213730871,1.1840332448482513
1,0.9763385420092487,0.9102942807518918
2,0.8963206139390136,0.8762706110010976
3,0.8694719312453347,0.8545187446086303
4,0.8528506036329424,0.8355102772298066
5,0.8359351705964715,0.8193977870371031
6,0.8201058964127476,0.8092576466176821
7,0.8037359763696356,0.7919874528179998
8,0.7878857815342813,0.7730367909307065
9,0.7724939839353839,0.7606326659088549
10,0.7605030424772343,0.747389708524165
11,0.7472017884833141,0.7283560542956643
12,0.7319431791992249,0.7133567734904911
13,0.719719986603098,0.7004980399556782
14,0.7050720563212645,0.6830943686806638
15,0.6933518637538342,0.6807117501030797
16,0.6810837045649495,0.666710641073144
17,0.6688237690809861,0.6576275158187618
18,0.6560172097196857,0.6519649398067723
19,0.6445162829650645,0.6359779057295426
20,0.6335323421121801,0.621292523715807
21,0.6241668523033074,0.6252711412051449
22,0.6113422229934279,0.60726388964964
23,0.6018048622750928,0.6022432712109193
24,0.5953239685702092,0.5910542455056439
25,0.5819599139941163,0.5825972625094912
26,0.5722275013676739,0.5714686571255975
27,0.5659980356789716,0.567572576844174
28,0.5562998581569172,0.5618505111855009
29,0.5500675710852478,0.5527455557299696
30,0.5434675879270128,0.5481699267807214
31,0.5338854553919394,0.5391422328741654
32,0.5227207286361738,0.5357598843781844
33,0.517628024118232,0.5288021988842798
34,0.512528367268229,0.5218983441591263
35,0.5052673049922128,0.5155994234525639
36,0.4973645245951742,0.5218269047529801
37,0.4917838127385451,0.509729663638965
38,0.4863541563641292,0.4989205955163292
39,0.47992030287637677,0.5076149462357812
40,0.47285849251407636,0.49859341979026794
41,0.4673808075270606,0.49276835924905277
42,0.46404157178687433,0.49024348932763806
43,0.4611223382953687,0.4848207721243734
44,0.45202577630100127,0.4870526081194048
45,0.45032460519796824,0.4750738895457724
46,0.4426942812489846,0.4782074693104495
47,0.43814183723386435,0.4673309837994368
48,0.4344022180221999,0.46654652933711593
49,0.42993408728475324,0.46395188861567044
50,0.42119269914515195,0.4648552702172943
51,0.41794264292446925,0.46423453448907187
52,0.4152513483726091,0.4520197105796441
53,0.4117305830458607,0.4580908294605172
54,0.4096590184326311,0.448915036800115
55,0.4026177849825532,0.44470923151011055
56,0.39930308701826145,0.43910892923241074
57,0.39340818748119194,0.43874231855506485
58,0.3935790438337619,0.4398577376876188
59,0.3886542221874867,0.4378123743378598
60,0.38493122821101095,0.4283086806535721
61,0.3786852341687795,0.43207799124976864
62,0.37536380179588075,0.43015039987538173
63,0.37342485091061267,0.42823299133907194
64,0.37334451564018006,0.42362755763789883
